,osm_id,Extra_cost,Number_of_accidents_total,Number_of_casualties_total,Average_severity,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5
63,733168931,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64,339836794,0.1590909090909091,2,2,2.0,0.15909090909090906,0.1590909090909091,0.15909090909090923,0.15909090909090906,0.15909090909090895
65,533674413,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,140441464,0.1691919191919192,4,7,2.75,0.16919191919191917,0.1691919191919192,0.16919191919191934,0.16919191919191917,0.16919191919191906
67,23085899,0.03787878787878787,1,1,3.0,0.03787878787878787,0.03787878787878791,0.03787878787878791,0.03787878787878791,0.03787878787878777
68,109230579,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,30820557,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,42267336,0.030303030303030307,1,1,3.0,0.030303030303030307,0.030303030303030328,0.030303030303030328,0.030303030303030325,0.030303030303030328
71,189720280,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,438324119,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,38430703,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,38658011,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,486389662,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,31435327,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77,24493076,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
78,37434193,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
79,12137649,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,23082369,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,5098611,0.030303030303030307,1,1,3.0,0.030303030303030307,0.030303030303030328,0.030303030303030328,0.030303030303030325,0.030303030303030328
82,202711755,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
83,213216766,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
84,31468295,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
85,154803436,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
86,31452906,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
87,4265343,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
88,31552670,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
89,211544925,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
90,8653519,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
91,60203025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
92,25999126,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
93,357224795,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
94,271927706,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
95,155308028,0.12626262626262624,2,2,2.5,0.12626262626262624,0.12626262626262622,0.12626262626262638,0.12626262626262622,0.12626262626262608
96,715552042,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
97,153834224,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
98,141255758,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
99,24870271,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100,4587739,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101,40926932,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
102,8663016,0.20833333333333334,5,6,2.8,0.20833333333333331,0.20833333333333337,0.20833333333333337,0.20833333333333334,0.20833333333333323
103,726561658,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104,155120871,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105,26589624,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106,25374528,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
107,32059609,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
108,33728657,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
109,31563050,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
