,osm_id,Extra_cost,Number_of_accidents_total,Number_of_casualties_total,Average_severity,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5
78,37434193,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
79,12137649,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
80,23082369,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
81,5098611,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
82,202711755,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
83,213216766,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
84,31468295,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
85,154803436,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
86,31452906,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
87,4265343,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
88,31552670,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
89,211544925,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
90,8653519,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
91,60203025,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
92,25999126,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
93,357224795,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
94,271927706,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
95,155308028,0.09999999999999999,2,2,2.5,0.19,0.37,0.79,0.6699999999999999,0.9099999999999999
96,715552042,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
97,153834224,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
98,141255758,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
99,24870271,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
100,4587739,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
101,40926932,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
102,8663016,0.165,5,6,2.8,0.255,0.43500000000000005,0.855,0.735,0.975
103,726561658,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
104,155120871,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
105,26589624,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
106,25374528,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
107,32059609,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
108,33728657,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
109,31563050,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
110,81544582,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
111,31828766,0.124,3,3,2.6666666666666665,0.214,0.394,0.8140000000000001,0.694,0.9339999999999999
112,14329687,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
113,323312325,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
114,218389046,0.126,5,5,3.0,0.216,0.396,0.8160000000000001,0.696,0.9359999999999999
115,722334583,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
116,482253261,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
117,31290448,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
118,26324549,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
119,38730255,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
120,155419698,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
121,151531966,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
122,191945185,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
123,4288919,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
124,4086266,0.42200000000000004,12,13,2.75,0.5120000000000001,0.6920000000000001,1.1119999999999999,0.992,1.232
125,479741272,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
126,251418322,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
127,537170584,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
128,4598803,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
129,9198936,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
130,154145135,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
131,355463565,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
132,195183072,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
133,24867216,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
134,40525978,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
135,153592396,0.027000000000000003,1,1,3.0,0.11699999999999999,0.29700000000000004,0.7170000000000001,0.597,0.837
136,736592375,0.04800000000000001,2,2,3.0,0.138,0.31800000000000006,0.738,0.618,0.858
137,154735911,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
138,156165947,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
139,24475216,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
140,12336696,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
141,334256452,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
142,26153326,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
