;;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017
05512;Bottrop, kreisfreie Stadt;116055;116017;117143;117409;117364
05513;Gelsenkirchen, kreisfreie Stadt;257850;257651;260368;262528;260305
05515;Münster, kreisfreie Stadt;299708;302178;310039;311846;313559
05554;Borken, Landkreis;364271;365191;369666;369226;369718
05558;Coesfeld, Landkreis;215282;215996;218401;219019;219360
05562;Recklinghausen, Landkreis;613878;613092;617807;617195;616824
05566;Steinfurt, Landkreis;434481;437127;443374;444409;446565
05570;Warendorf, Landkreis;272623;273412;277431;277744;277458
05711;Bielefeld, kreisfreie Stadt;328864;329782;333090;333451;332552
05754;Gütersloh, Landkreis;352334;354463;360642;361828;363049
05758;Herford, Landkreis;248988;249219;252122;251074;251539
05762;Höxter, Landkreis;142788;142770;144010;141855;141565
05766;Lippe, Landkreis;345374;345127;350750;348933;349069
05770;Minden-Lübbecke, Landkreis;309356;309216;313050;311866;311207
05774;Paderborn, Landkreis;296688;299071;304332;305198;305362
05911;Bochum, kreisfreie Stadt;361734;361876;364742;364920;365529
05913;Dortmund, kreisfreie Stadt;575944;580511;586181;585813;586600
05914;Hagen, kreisfreie Stadt;185996;186716;189044;188266;187730
05915;Hamm, kreisfreie Stadt;176048;176580;179397;179571;179185
05916;Herne, kreisfreie Stadt;154417;154608;155851;156774;156490
05954;Ennepe-Ruhr-Kreis;322731;322916;325954;325374;324670
05958;Hochsauerlandkreis;261999;261561;263762;262269;261591
05962;Märkischer Kreis;416240;413820;416171;414886;413383
05966;Olpe, Landkreis;134947;134759;136365;134983;134808
05970;Siegen-Wittgenstein, Landkreis;274904;275909;280800;277933;277977
05974;Soest, Landkreis;294971;296742;302995;301655;301693
05978;Unna, Landkreis;391622;391774;396035;393869;393934
06411;Darmstadt, kreisfreie Stadt;149743;151879;155353;157437;158254
06412;Frankfurt am Main, kreisfreie Stadt;701350;717624;732688;736414;746878
06413;Offenbach am Main, kreisfreie Stadt;119203;120988;123734;124589;126658
06414;Wiesbaden, kreisfreie Stadt;273871;275116;276218;277619;278654
06431;Bergstraße, Landkreis;262322;263822;266928;267935;268780
06432;Darmstadt-Dieburg, Landkreis;285407;287966;292773;294744;296048
06433;Groß-Gerau, Landkreis;257301;260793;266042;269045;271403
06434;Hochtaunuskreis;229167;230798;233427;234991;235995
06435;Main-Kinzig-Kreis;404995;407619;411956;416715;418208
06436;Main-Taunus-Kreis;228021;229976;232848;235708;236969
06437;Odenwaldkreis;96201;96082;97000;96473;96597
06438;Offenbach, Landkreis;338300;341669;347357;349982;351692
06439;Rheingau-Taunus-Kreis;181190;182117;184114;185668;186602
06440;Wetteraukreis;295408;297369;301931;303914;305312
06531;Gießen, Landkreis;253820;259834;262505;265699;267056
06532;Lahn-Dill-Kreis;251327;251440;253167;254074;254164
06533;Limburg-Weilburg, Landkreis;169964;170385;171922;172120;171971
06534;Marburg-Biedenkopf, Landkreis;241656;241598;245241;245013;246165
06535;Vogelsbergkreis;106383;105763;107256;106737;106451
06611;Kassel, kreisfreie Stadt;194087;194747;197984;199062;200736
06631;Fulda, Landkreis;216314;217326;220132;221170;221783
06632;Hersfeld-Rotenburg, Landkreis;119651;119394;121166;121037;121101
06633;Kassel, Landkreis;233352;233451;235813;236905;236674
06634;Schwalm-Eder-Kreis;179429;179466;180310;181105;180754
06635;Waldeck-Frankenberg, Landkreis;156607;156460;157592;157967;157256
06636;Werra-Meißner-Kreis;100356;100206;100715;100965;101101
07111;Koblenz, kreisfreie Stadt;110643;111434;112586;113605;113844
07131;Ahrweiler, Landkreis;126102;126643;127770;128455;128914
07132;Altenkirchen (Westerwald), Landkreis;128373;128228;129171;128961;128791
07133;Bad Kreuznach, Landkreis;155297;155944;156821;157392;157549
07134;Birkenfeld, Landkreis;80673;80591;80615;80799;80728
07135;Cochem-Zell, Landkreis;63202;62041;62391;61864;61662
07137;Mayen-Koblenz, Landkreis;209785;210441;211925;212968;213554
07138;Neuwied, Landkreis;179454;179317;180655;181537;181655
07140;Rhein-Hunsrück-Kreis;100770;101945;102529;103026;102938
07141;Rhein-Lahn-Kreis;121375;121487;123543;122553;122381
07143;Westerwaldkreis;198704;199131;200302;201027;201039
07211;Trier, kreisfreie Stadt;107233;108472;114914;110111;110013
07231;Bernkastel-Wittlich, Landkreis;110643;110981;111828;112006;112134
07232;Eifelkreis Bitburg-Prüm;96158;96408;97180;98021;98213
07233;Vulkaneifel, Landkreis;60765;60775;60794;60757;60705
07235;Trier-Saarburg, Landkreis;144337;145227;147999;147833;148532
07311;Frankenthal (Pfalz), kreisfreie Stadt;47332;47724;48363;48445;48417
07312;Kaiserslautern, kreisfreie Stadt;97162;97382;98520;99302;99684
07313;Landau in der Pfalz, kreisfreie Stadt;43825;44465;45362;46006;46292
07314;Ludwigshafen am Rhein, kreisfreie Stadt;161518;163832;164718;166621;168497
07315;Mainz, kreisfreie Stadt;204268;206991;209779;213528;215110
07316;Neustadt an der Weinstraße, kreisfreie Stadt;52400;52564;52999;53209;53353
07317;Pirmasens, kreisfreie Stadt;40101;40046;40125;40416;40632
07318;Speyer, kreisfreie Stadt;49740;49855;50284;50551;50931
07319;Worms, kreisfreie Stadt;80296;81010;82102;82595;83081
07320;Zweibrücken, kreisfreie Stadt;34084;34011;34260;34428;34270
07331;Alzey-Worms, Landkreis;125213;125998;127274;128197;128519
07332;Bad Dürkheim, Landkreis;131041;131530;132203;132960;132739
07333;Donnersbergkreis;75192;74962;75230;75203;75102
07334;Germersheim, Landkreis;125434;126266;127303;128205;128477
07335;Kaiserslautern, Landkreis;104117;104288;104966;105504;105649
07336;Kusel, Landkreis;71098;70883;70997;70899;70764
07337;Südliche Weinstraße, Landkreis;109026;109735;110526;110885;110622
07338;Rhein-Pfalz-Kreis;149068;150051;151546;153043;153629
07339;Mainz-Bingen, Landkreis;203338;204514;208749;209184;209785
07340;Südwestpfalz, Landkreis;96599;96410;96474;95957;95474
08111;Stuttgart, kreisfreie Stadt;604297;612441;623738;628032;632743
08115;Böblingen, Landkreis;370392;374279;381281;385888;389548
08116;Esslingen, Landkreis;512279;516779;524127;528792;532447
08117;Göppingen, Landkreis;248813;250117;252749;254618;256345
08118;Ludwigsburg, Landkreis;521633;526377;534074;537902;542630
08119;Rems-Murr-Kreis;411025;414016;419456;422698;424878
08121;Heilbronn, kreisfreie Stadt;118122;119841;122567;123771;125113
08125;Heilbronn, Landkreis;326035;329250;334388;337571;340772
08126;Hohenlohekreis;107866;108816;110181;110689;111392
08127;Schwäbisch Hall, Landkreis;187682;188974;191614;192958;194203
08128;Main-Tauber-Kreis;129857;130299;132181;132274;132189
08135;Heidenheim, Landkreis;127947;128894;130527;131498;132006
08136;Ostalbkreis;306933;308205;312650;311587;312422
08211;Baden-Baden, kreisfreie Stadt;53012;53342;54160;54307;54718
08212;Karlsruhe, kreisfreie Stadt;299103;300051;307755;309999;311919
08215;Karlsruhe, Landkreis;429186;431315;435841;440337;442673
08216;Rastatt, Landkreis;223311;224687;227474;228907;230216
08221;Heidelberg, kreisfreie Stadt;152113;154715;156267;159914;160601
08222;Mannheim, kreisfreie Stadt;296690;299844;305780;304781;307997
08225;Neckar-Odenwald-Kreis;141584;141651;142936;143278;143376
08226;Rhein-Neckar-Kreis;531013;534729;541859;544400;546745
08231;Pforzheim, kreisfreie Stadt;117754;119291;122247;123493;124289
08235;Calw, Landkreis;151461;152766;155359;155960;157424
08236;Enzkreis;192811;193728;196066;197246;198369
08237;Freudenstadt, Landkreis;114793;115147;116233;116692;117456
08311;Freiburg im Breisgau, kreisfreie Stadt;220286;222203;226393;227590;229636
08315;Breisgau-Hochschwarzwald, Landkreis;250137;252749;257343;260416;262405
08316;Emmendingen, Landkreis;158177;159708;162082;163251;164712
08317;Ortenaukreis;412678;415639;420106;423359;425932
08325;Rottweil, Landkreis;135319;135912;137500;138327;138858
08326;Schwarzwald-Baar-Kreis;205090;206116;209648;210084;211207
08327;Tuttlingen, Landkreis;133198;134607;136606;138119;139397
08335;Konstanz, Landkreis;273407;275785;280288;282191;284015
08336;Lörrach, Landkreis;221943;223692;226708;227545;228314
08337;Waldshut, Landkreis;164265;165211;167861;168852;170198
08415;Reutlingen, Landkreis;276019;278031;282113;284082;285754
08416;Tübingen, Landkreis;216535;218355;221837;224635;225755
08417;Zollernalbkreis;184615;186360;188595;187401;188170
08421;Ulm, kreisfreie Stadt;119218;120714;122636;123953;125596
08425;Alb-Donau-Kreis;187892;189129;192104;193318;194629
08426;Biberach, Landkreis;188696;190438;194019;196206;198265
08435;Bodenseekreis;207450;209386;212201;213070;214655
08436;Ravensburg, Landkreis;273540;275339;279296;281627;283264
08437;Sigmaringen, Landkreis;127101;127716;130772;130275;130192
09161;Ingolstadt, kreisfreie Stadt;129136;131002;132438;133639;135244
09162;München, kreisfreie Stadt;1407836;1429584;1450381;1464301;1456039
09163;Rosenheim, kreisfreie Stadt;60464;60889;61844;62672;63080
09171;Altötting, Landkreis;106965;107465;108485;109422;110338
09172;Berchtesgadener Land, Landkreis;102346;102976;103907;104480;105052
09173;Bad Tölz-Wolfratshausen, Landkreis;122118;123340;124930;125668;126572
09174;Dachau, Landkreis;144407;146279;149370;150839;152703
09175;Ebersberg, Landkreis;133007;134873;137421;139016;140800
09176;Eichstätt, Landkreis;125858;127189;128805;130808;131646
09177;Erding, Landkreis;130238;131839;133747;135429;136884
09178;Freising, Landkreis;169010;170357;173225;175803;177997
09179;Fürstenfeldbruck, Landkreis;208272;210278;213481;216857;217831
09180;Garmisch-Partenkirchen, Landkreis;85443;85931;87385;87877;88155
09181;Landsberg am Lech, Landkreis;114926;116118;117657;118725;119141
09182;Miesbach, Landkreis;96049;96773;98286;98828;99189
09183;Mühldorf am Inn, Landkreis;109227;110296;112034;113222;114486
09184;München, Landkreis;329981;332800;340003;343405;346433
09185;Neuburg-Schrobenhausen, Landkreis;92700;93505;94654;95759;96164
09186;Pfaffenhofen an der Ilm, Landkreis;119987;121594;124128;125085;126244
09187;Rosenheim, Landkreis;249810;251850;256074;257466;259449
09188;Starnberg, Landkreis;130811;131873;133621;134732;135545
09189;Traunstein, Landkreis;170364;171978;174162;175431;176290
09190;Weilheim-Schongau, Landkreis;130387;131190;132906;133859;134252
09261;Landshut, kreisfreie Stadt;66179;67509;69211;70025;71193
09262;Passau, kreisfreie Stadt;49454;49952;50566;51074;51781
09263;Straubing, kreisfreie Stadt;45502;46027;46806;47142;47586
09271;Deggendorf, Landkreis;115374;115699;116596;117601;118741
09272;Freyung-Grafenau, Landkreis;77626;77927;78122;78180;78345
09273;Kelheim, Landkreis;115232;116495;118965;119969;121119
09274;Landshut, Landkreis;150316;151819;154577;155442;157239
09275;Passau, Landkreis;185671;186284;188336;188904;190504
09276;Regen, Landkreis;76257;76265;76812;77187;77489
09277;Rottal-Inn, Landkreis;117654;118164;119218;119617;120371
09278;Straubing-Bogen, Landkreis;97323;97967;98806;99221;99838
09279;Dingolfing-Landau, Landkreis;92565;93450;94104;95035;95831
09361;Amberg, kreisfreie Stadt;41592;41535;41861;42348;42248
09362;Regensburg, kreisfreie Stadt;140276;142292;145465;148638;150894
09363;Weiden in der Oberpfalz, kreisfreie Stadt;41726;41817;42055;42494;42543
09371;Amberg-Sulzbach, Landkreis;103074;103045;103568;103009;102836
09372;Cham, Landkreis;125553;125844;126359;126918;127339
09373;Neumarkt in der Oberpfalz, Landkreis;127826;128975;130385;131662;132644
09374;Neustadt an der Waldnaab, Landkreis;95447;95184;95078;94528;94486
09375;Regensburg, Landkreis;185980;187205;189390;190481;192200
09376;Schwandorf, Landkreis;143060;143614;144864;145382;146487
09377;Tirschenreuth, Landkreis;73457;73250;73314;72918;72730
09461;Bamberg, kreisfreie Stadt;71167;71952;73331;75743;77179
09462;Bayreuth, kreisfreie Stadt;71572;71601;72148;73065;73999
09463;Coburg, kreisfreie Stadt;40994;41062;41257;41071;41236
09464;Hof, kreisfreie Stadt;44522;44325;44660;45183;45950
09471;Bamberg, Landkreis;144425;144695;145570;146042;146584
09472;Bayreuth, Landkreis;104637;104615;104306;103876;103805
09473;Coburg, Landkreis;86719;86715;86599;86734;86885
09474;Forchheim, Landkreis;113424;113900;114834;115259;115681
09475;Hof, Landkreis;97096;96608;96429;95915;95773
09476;Kronach, Landkreis;68484;67998;67916;67613;67474
09477;Kulmbach, Landkreis;72898;72541;72468;71993;72012
09478;Lichtenfels, Landkreis;66644;66540;66655;66640;66777
09479;Wunsiedel im Fichtelgebirge, Landkreis;73783;73403;73185;73260;73485
09561;Ansbach, kreisfreie Stadt;39839;40010;41159;41532;41652
09562;Erlangen, kreisfreie Stadt;105624;106423;108336;110238;110998
09563;Fürth, kreisfreie Stadt;119808;121519;124171;125403;126526
09564;Nürnberg, kreisfreie Stadt;498876;501072;509975;511628;515201
09565;Schwabach, kreisfreie Stadt;39546;39941;40428;40707;40781
09571;Ansbach, Landkreis;178914;179419;181314;182178;183256
09572;Erlangen-Höchstadt, Landkreis;132012;132830;134136;134640;135334
09573;Fürth, Landkreis;114513;113847;114291;115971;116193
09574;Nürnberger Land, Landkreis;165000;165918;167643;168893;169752
09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;97482;97808;98751;99332;99641
09576;Roth, Landkreis;123431;123890;125140;125563;126101
09577;Weißenburg-Gunzenhausen, Landkreis;92331;92518;93342;93974;94208
09661;Aschaffenburg, kreisfreie Stadt;67844;68167;68986;69187;69928
09662;Schweinfurt, kreisfreie Stadt;51851;51610;51969;52724;53437
09663;Würzburg, kreisfreie Stadt;124698;124219;124873;126010;126635
09671;Aschaffenburg, Landkreis;172791;172776;173695;173504;173969
09672;Bad Kissingen, Landkreis;102865;102901;103106;103100;103265
09673;Rhön-Grabfeld, Landkreis;79965;79676;79723;79855;79796
09674;Haßberge, Landkreis;84090;84152;84581;84373;84464
09675;Kitzingen, Landkreis;88097;88492;89306;89748;90429
09676;Miltenberg, Landkreis;127909;127941;128446;128543;128484
09677;Main-Spessart, Landkreis;126295;125915;126123;126301;126523
09678;Schweinfurt, Landkreis;113007;113747;114813;114823;115105
09679;Würzburg, Landkreis;158580;159253;160427;161041;161340
09761;Augsburg, kreisfreie Stadt;276542;281111;286374;289584;292851
09762;Kaufbeuren, kreisfreie Stadt;41759;42014;42731;43134;43478
09763;Kempten (Allgäu), kreisfreie Stadt;65044;65624;66947;67529;68330
09764;Memmingen, kreisfreie Stadt;41772;42201;42841;43293;43470
09771;Aichach-Friedberg, Landkreis;128435;129294;130916;131399;132596
09772;Augsburg, Landkreis;240911;242697;245600;247539;249838
09773;Dillingen an der Donau, Landkreis;93129;93478;94575;94556;95159
09774;Günzburg, Landkreis;120696;121828;123153;123498;124519
09775;Neu-Ulm, Landkreis;166643;167847;170309;171011;172546
09776;Lindau (Bodensee), Landkreis;78939;79387;80429;80961;81148
09777;Ostallgäu, Landkreis;134771;135894;137709;138265;139278
09778;Unterallgäu, Landkreis;137484;138712;140419;141165;142544
09779;Donau-Ries, Landkreis;129422;130203;131345;132298;133043
09780;Oberallgäu, Landkreis;150478;150981;152672;153759;154568
10041;Regionalverband Saarbrücken, Landkreis;325978;325604;327380;329593;330150
10042;Merzig-Wadern, Landkreis;103135;102987;103997;103908;103656
10043;Neunkirchen, Landkreis;133222;133021;133735;133984;133297
10044;Saarlouis, Landkreis;195976;195632;197009;196609;195815
10045;Saarpfalz-Kreis;143851;143532;144584;144100;143402
10046;Sankt Wendel, Landkreis;88556;88259;88892;88457;87867
11000;Berlin, kreisfreie Stadt;3421829;3469849;3520031;3574830;3613495
12051;Brandenburg an der Havel, kreisfreie Stadt;71032;71032;71574;71664;71886
12052;Cottbus, kreisfreie Stadt;99595;99491;99687;100416;101036
12053;Frankfurt (Oder), kreisfreie Stadt;58018;57649;58092;58193;58237
12054;Potsdam, kreisfreie Stadt;161468;164042;167745;171810;175710
12060;Barnim, Landkreis;173754;174981;177411;179365;180864
12061;Dahme-Spreewald, Landkreis;160793;161952;164528;166074;167319
12062;Elbe-Elster, Landkreis;106157;104997;104673;104397;103455
12063;Havelland, Landkreis;153874;155408;158236;159685;160710
12064;Märkisch-Oderland, Landkreis;187668;188422;190714;191685;192921
12065;Oberhavel, Landkreis;203012;204898;207524;208639;209893
12066;Oberspreewald-Lausitz, Landkreis;113842;112896;112450;111962;111122
12067;Oder-Spree, Landkreis;176850;177823;182397;178849;178347
12068;Ostprignitz-Ruppin, Landkreis;98944;98886;99110;99414;99368
12069;Potsdam-Mittelmark, Landkreis;205520;207498;210910;212207;213214
12070;Prignitz, Landkreis;77993;77550;77573;77813;77263
12071;Spree-Neiße, Landkreis;118899;118030;117635;116826;115456
12072;Teltow-Fläming, Landkreis;160448;161488;163553;164771;166890
12073;Uckermark, Landkreis;121326;120829;121014;120878;120349
13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-
13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-
13003;Rostock, kreisfreie Stadt;203431;204167;206011;207513;208409
13004;Schwerin, kreisfreie Stadt;91583;92138;96800;95668;95797
13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-
13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-
13051;Bad Doberan, Landkreis (bis 03.09.2011);-;-;-;-;-
13052;Demmin, Landkreis (bis 03.09.2011);-;-;-;-;-
