;;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017
14713;Leipzig, kreisfreie Stadt;531562;544479;560472;571088;581980
14729;Leipzig, Landkreis;257596;257647;258408;258333;258008
14730;Nordsachsen, Landkreis;197346;197042;197605;198063;197794
15001;Dessau-Roßlau, kreisfreie Stadt;83616;83061;82919;82505;82111
15002;Halle (Saale), kreisfreie Stadt;231565;232470;236991;238005;239173
15003;Magdeburg, kreisfreie Stadt;231021;232305;235723;238136;238478
15081;Altmarkkreis Salzwedel;86312;86071;86164;85236;84457
15082;Anhalt-Bitterfeld, Landkreis;166828;165076;164817;163100;161264
15083;Börde, Landkreis;172955;172830;173473;172959;172619
15084;Burgenlandkreis;184956;184055;184081;183174;181968
15085;Harz, Landkreis;221043;219618;221366;219643;216299
15086;Jerichower Land, Landkreis;91721;91359;91693;91345;90465
15087;Mansfeld-Südharz, Landkreis;143246;142054;141408;139781;138013
15088;Saalekreis;187690;186510;186431;185951;185494
15089;Salzlandkreis;198715;196750;196695;194575;192739
15090;Stendal, Landkreis;115471;114668;115262;114393;113186
15091;Wittenberg, Landkreis;129438;128721;128447;127449;126815
15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-
15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-;-;-
15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-;-;-
15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-;-;-
15159;Köthen, Landkreis (bis 30.06.2007);-;-;-;-;-
15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-;-;-
15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-
15256;Burgenlandkreis (bis 30.06.2007);-;-;-;-;-
15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-;-;-
15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-;-;-
15265;Saalkreis (bis 30.06.2007);-;-;-;-;-
15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-;-;-
15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-;-;-
15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-
15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-;-;-
15355;Bördekreis (bis 30.06.2007);-;-;-;-;-
15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-;-;-
15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-;-;-
15362;Ohrekreis (bis 30.06.2007);-;-;-;-;-
15363;Stendal, Landkreis (bis 30.06.2007);-;-;-;-;-
15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-;-;-
15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-;-;-
15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-;-;-
15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-;-;-
16051;Erfurt, kreisfreie Stadt;204880;206219;210118;211113;212988
16052;Gera, kreisfreie Stadt;94977;94492;96011;94750;94859
16053;Jena, kreisfreie Stadt;107679;108207;109527;110321;111099
16054;Suhl, kreisfreie Stadt;35665;36208;36778;35608;35166
16055;Weimar, kreisfreie Stadt;63315;63477;64131;64355;64426
16056;Eisenach, kreisfreie Stadt;41567;41884;42417;42588;42710
16061;Eichsfeld, Landkreis;100951;100730;101325;101033;100645
16062;Nordhausen, Landkreis;85380;85055;85355;85098;84697
16063;Wartburgkreis;126283;125835;125655;124729;123764
16064;Unstrut-Hainich-Kreis;104245;103922;105273;103948;103504
16065;Kyffhäuserkreis;77656;77148;77110;76685;75818
16066;Schmalkalden-Meiningen, Landkreis;125574;125056;124623;123506;122952
16067;Gotha, Landkreis;135155;135381;136831;135430;135521
16068;Sömmerda, Landkreis;70833;70537;70600;70118;70027
16069;Hildburghausen, Landkreis;65032;64673;64524;64330;63923
16070;Ilm-Kreis;108958;108899;109620;109167;108830
16071;Weimarer Land, Landkreis;81704;81641;82127;82316;82131
16072;Sonneberg, Landkreis;57252;56809;56818;56507;56361
16073;Saalfeld-Rudolstadt, Landkreis;110307;109646;109278;108315;107368
16074;Saale-Holzland-Kreis;84001;83966;86184;84525;82990
16075;Saale-Orla-Kreis;83654;82887;82951;82362;81501
16076;Greiz, Landkreis;102167;101382;101114;99717;99275
16077;Altenburger Land, Landkreis;93605;92705;92344;91607;90650
