id,Longitude,Latitude,Accident_Severity,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
120,-2.892934,53.422639000000004,2,1,3,2
121,-2.9594869999999998,53.443112,3,1,1,1
122,-2.981992,53.441023,2,1,1,1
123,-2.905265,53.370501000000004,3,1,4,1
124,-2.9542740000000003,53.412026000000004,2,1,1,1
125,-2.926828,53.400034999999995,3,4,1,1
126,-2.93992,53.441991,3,1,1,1
127,-2.928782,53.38135,2,1,1,1
128,-2.974128,53.401951000000004,3,1,1,1
129,-2.949855,53.39668100000001,2,4,1,1
130,-2.9504799999999998,53.44161999999999,3,1,1,1
131,-2.921507,53.429424,3,4,1,2
132,-2.94968,53.397608,3,1,3,3
133,-2.973327,53.43075699999999,3,1,3,4
134,-2.9548389999999998,53.411742000000004,3,1,1,1
135,-2.913364,53.43853000000001,3,1,1,1
136,-2.98322,53.432905000000005,3,4,2,2
137,-2.8723810000000003,53.42866899999999,3,4,2,2
138,-2.926659,53.42205,3,1,1,1
139,-2.9450529999999997,53.41751,3,1,1,1
140,-2.932109,53.468937,2,1,1,1
141,-2.894683,53.448620999999996,3,1,3,3
142,-2.915608,53.446315000000006,3,1,9,-1
143,-2.914832,53.412271,3,4,2,2
144,-2.985777,53.40943299999999,2,4,2,2
145,-2.984475,53.407106000000006,3,4,2,2
146,-2.963702,53.437757,3,1,1,1
147,-2.956525,53.397696999999994,3,1,1,1
148,-2.9622080000000004,53.456941,3,1,1,1
149,-2.974949,53.381917,3,4,1,1
150,-2.869095,53.398167,2,4,1,1
151,-2.907241,53.397012,3,4,1,1
152,-2.989863,53.402028,3,1,1,1
153,-2.9571490000000002,53.461665,3,1,2,2
154,-2.979078,53.426261,3,1,1,1
155,-2.867364,53.350007999999995,2,1,1,1
156,-2.928466,53.36889300000001,3,4,1,2
157,-2.973802,53.423904,3,1,1,1
158,-2.894112,53.42645,2,1,1,1
159,-2.884129,53.36308100000001,3,1,1,1
160,-2.948443,53.39809399999999,3,1,4,2
161,-2.990064,53.402269,2,1,1,1
162,-2.952451,53.417972999999996,1,4,3,1
163,-2.946084,53.429403,2,1,3,2
164,-2.9307540000000003,53.40076800000001,3,1,1,1
165,-2.864288,53.382884999999995,2,1,1,1
166,-2.986799,53.408714,3,5,8,1
167,-2.969768,53.409941,3,1,1,1
168,-2.978366,53.403085,3,7,9,1
169,-2.967317,53.3961,3,1,1,1
170,-2.919035,53.45510600000001,2,7,1,1
171,-2.939556,53.389309999999995,3,4,1,1
